2021-03-15 15:15:04,238 INFO Finding upfile links in /Users/gerald/Development/ws-osqa-ask-static/import/questions
2021-03-15 15:15:10,840 INFO Found 1488 upfiles in 13454 questions
2021-03-15 15:15:11,319 INFO Fetched upfile MainMenuIssue.PNG, 28157 bytes.
2021-03-15 15:15:11,362 INFO Fetched upfile QQ20170605194319.jpg, 112487 bytes.
2021-03-15 15:15:11,429 INFO Fetched upfile External_destination_Diff_Mult_shift_LLK1pIw.PNG, 209917 bytes.
2021-03-15 15:15:11,429 INFO Fetched upfile modbusTrace.jpg, 246319 bytes.
2021-03-15 15:15:11,785 INFO Fetched upfile 6001.png, 39892 bytes.
2021-03-15 15:15:11,845 INFO Fetched upfile snapshot1.png, 14421 bytes.
2021-03-15 15:15:11,937 INFO Fetched upfile Untitled_q0fZR9V.jpg, 271519 bytes.
2021-03-15 15:15:12,017 INFO Fetched upfile 2016_11_10_07_04_27_Greenshot2.PNG, 1697738 bytes.
2021-03-15 15:15:12,266 INFO Fetched upfile W1.12.4_IW36GeQ.jpeg, 22793 bytes.
2021-03-15 15:15:12,276 INFO Fetched upfile Packet_Image_(Section_1)_OvsZlO0.jpg, 401558 bytes.
2021-03-15 15:15:12,404 INFO Fetched upfile Last_Frame_MPDU.png, 68562 bytes.
2021-03-15 15:15:12,464 INFO Fetched upfile double_appearance_2.JPG, 79222 bytes.
2021-03-15 15:15:12,706 INFO Fetched upfile Wireshark_iRKwM5R.PNG, 93887 bytes.
2021-03-15 15:15:12,716 INFO Fetched upfile client_capture_timeout.png, 64114 bytes.
2021-03-15 15:15:12,860 INFO Fetched upfile Selection_031.png, 79667 bytes.
2021-03-15 15:15:12,910 INFO Fetched upfile Wireshark_multiplehost.png, 6443 bytes.
2021-03-15 15:15:13,141 INFO Fetched upfile debugissue2.png, 21411 bytes.
2021-03-15 15:15:13,199 INFO Fetched upfile 1_1.jpg, 220771 bytes.
2021-03-15 15:15:13,324 INFO Fetched upfile RST_Qyi8eGU.jpeg, 49447 bytes.
2021-03-15 15:15:13,343 INFO Fetched upfile modbus_config1.JPG, 215330 bytes.
2021-03-15 15:15:13,550 INFO Fetched upfile 1_K9YAMuq.jpg, 9182 bytes.
2021-03-15 15:15:13,632 INFO Fetched upfile Packet_Loss_Time_Ref_anon.PNG, 58585 bytes.
2021-03-15 15:15:13,761 INFO Fetched upfile smpp.JPG, 105041 bytes.
2021-03-15 15:15:13,785 INFO Fetched upfile 42445_screen1.png, 75948 bytes.
2021-03-15 15:15:13,995 INFO Fetched upfile Zwischenablage6.jpg, 52540 bytes.
2021-03-15 15:15:14,037 INFO Fetched upfile tls_client_hello.jpg, 311175 bytes.
2021-03-15 15:15:14,063 INFO Fetched upfile firewall1_RbkPx9e.png, 104424 bytes.
2021-03-15 15:15:14,222 INFO Fetched upfile wireshark_lua.png, 24081 bytes.
2021-03-15 15:15:14,392 INFO Fetched upfile wire_U8eUXUq.png, 10344 bytes.
